TravelCode,UserID,Departure,Arrival,Hotel,Rating,BedroomType,PricePerNight,Adults,Children,TotalBedrooms,TotalPricePerNight,Amenities,StayingDays,TotalCost,CheckOut,CheckIn
16046,158,Dhubri,Pune,Hotel Aurora Towers,3,Suite,7176,1,0,1,7176,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms']",7,50232,18-11-2021,11-11-2021
16049,158,Raipur,Varanasi,Rivatas by Ideal,4,Suite,8142,1,1,1,8142,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Rooftop Lounge', 'Sauna']",4,32568,06-12-2021,02-12-2021
16050,158,Chennai,Diu,Hotel Samrat,3,Suite,5283,3,3,3,15849,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar']",5,79245,14-12-2021,09-12-2021
16062,158,Vijayawada,Mopa,Hotel Swarnam,2,Executive,3596,4,3,4,14384,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Coffee Maker', 'Laundry']",4,57536,07-03-2022,03-03-2022
16067,158,Udaipur,Hyderabad,Taj Falaknuma Palace,5,Suite,14404,3,1,2,28808,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Limousine Service', 'Private Butler', 'Helipad']",5,144040,12-04-2022,07-04-2022
16070,158,Kota,Vadodara,Hotel Suba Elite,3,Deluxe,5096,1,1,1,5096,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",1,5096,29-04-2022,28-04-2022
16072,158,Ranchi,Bhubaneswar,Fortune Park Sishmo Bhubaneswar,4,Deluxe,7103,2,2,2,14206,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna', 'Rooftop Lounge', 'Business Center']",2,28412,14-05-2022,12-05-2022
16078,158,Pune,Indore,Hotel Winway,3,Deluxe,3401,2,2,2,6802,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms', 'Airport Shuttle', 'Bar']",3,20406,26-06-2022,23-06-2022
16083,158,Kullu-Manali,Ludhiana,Hotel Maharaja Regency,3,Deluxe,5411,3,2,3,16233,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Airport Shuttle']",3,48699,31-07-2022,28-07-2022
16085,158,Ludhiana,Guwahati,Hotel Atithi,3,Suite,6711,3,0,2,13422,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms']",7,93954,18-08-2022,11-08-2022
16086,158,Itanagar,Vijayawada,Innotel Hotel,3,Executive,4313,4,3,4,17252,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Airport Shuttle']",5,86260,24-08-2022,19-08-2022
16090,158,Navi Mumbai,Udaipur,Hotel Mandovin,3,Deluxe,5068,3,2,3,15204,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",7,106428,22-09-2022,15-09-2022
16091,158,Guwahati,Imphal,Shirui Lily Hotel,2,Suite,4335,4,0,2,8670,"['Wi-Fi', 'Parking', 'Room Service', 'TV']",5,43350,27-09-2022,22-09-2022
16092,158,Indore,Dehradun,The Hotel JS Souvenir,3,Executive,6344,3,2,3,19032,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",1,19032,30-09-2022,29-09-2022
16095,158,Surat,Bengaluru,Hotel Airport City,3,Deluxe,4788,2,3,2,9576,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar', 'Meeting Rooms', 'Airport Shuttle']",2,19152,22-10-2022,20-10-2022
16098,158,Imphal,Puducherry,Hotel Atithi,3,Suite,6711,4,2,3,20133,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",3,60399,13-11-2022,10-11-2022
16100,158,Vadodara,Patna,Hotel Chanakya,4,Executive,8130,1,1,1,8130,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Business Center', 'Rooftop Lounge', 'Sauna']",5,40650,29-11-2022,24-11-2022
16105,158,Delhi NCR,Visakhapatnam,Treebo Sriz Cozy Seethamadhara,3,Suite,6934,2,2,2,13868,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",6,83208,04-01-2023,29-12-2022
16109,158,Raipur,Bilaspur,Hotel Anand,2,Executive,3019,1,1,1,3019,"['Wi-Fi', 'Parking', 'Room Service', 'TV']",4,12076,30-01-2023,26-01-2023
16113,158,Ludhiana,Imphal,Hotel Nirmala,2,Executive,3478,3,1,2,6956,"['Wi-Fi', 'Parking', 'Room Service', 'TV']",1,6956,24-02-2023,23-02-2023
16117,158,Mysuru,Gangtok,Mayfair Spa Resort & Casino,5,Executive,11885,2,0,1,11885,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Limousine Service', 'Private Butler', 'Helipad']",4,47540,27-03-2023,23-03-2023
16121,158,Ludhiana,Bengaluru,Shivas Galaxy Hotel,3,Suite,6297,2,0,1,6297,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms', 'Airport Shuttle', 'Bar']",4,25188,24-04-2023,20-04-2023
16123,158,Ranchi,Ludhiana,"Keys Select by Lemon Tree Hotels, Ludhiana",3,Deluxe,4354,2,3,2,8708,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Airport Shuttle']",2,17416,06-05-2023,04-05-2023
16125,158,Varanasi,Chennai,Courtyard by Marriott Chennai,4,Executive,8024,2,3,2,16048,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna']",7,112336,25-05-2023,18-05-2023
16126,158,Hyderabad,Visakhapatnam,"Welcomhotel by ITC Hotels, Devee Grand Bay, Visakhapatnam",5,Executive,10914,1,0,1,10914,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Helipad', 'Limousine Service']",3,32742,28-05-2023,25-05-2023
16128,158,Mopa,Coimbatore,Vivanta Coimbatore,4,Executive,9097,1,1,1,9097,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Rooftop Lounge']",2,18194,10-06-2023,08-06-2023
16132,159,Bilaspur,Navi Mumbai,Hotel Supreme Heritage,3,Deluxe,4963,3,1,2,9926,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",7,69482,24-10-2019,17-10-2019
16133,159,Kullu-Manali,Hisar,Hotel Grace,3,Suite,7192,2,1,2,14384,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Airport Shuttle', 'Meeting Rooms', 'Bar']",3,43152,27-10-2019,24-10-2019
16137,159,Dabolim,Udaipur,"Hotel Meenakshi, Udaipur",3,Suite,6351,2,1,2,12702,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar']",6,76212,27-11-2019,21-11-2019
16142,159,Thiruvananthapuram,Gangtok,"Lemon Tree Hotel, Gangtok",3,Suite,6436,1,1,1,6436,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",1,6436,27-12-2019,26-12-2019
16151,159,Vadodara,Ahmedabad,Fortune Landmark,4,Suite,7719,2,0,1,7719,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Rooftop Lounge', 'Sauna', 'Business Center']",1,7719,28-02-2020,27-02-2020
16155,159,Navi Mumbai,Indore,Marriott Indore,5,Deluxe,11184,3,0,2,22368,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Limousine Service', 'Helipad', 'Private Butler']",1,22368,27-03-2020,26-03-2020
16156,159,Itanagar,Jaipur,Jaipur Marriott Hotel,5,Deluxe,10786,4,1,3,32358,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Limousine Service', 'Private Butler', 'Helipad']",6,194148,08-04-2020,02-04-2020
16159,159,Surat,Ludhiana,Hotel City Heart Sarovar Portico,3,Deluxe,3442,3,1,2,6884,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms', 'Bar', 'Airport Shuttle']",5,34420,28-04-2020,23-04-2020
16161,159,Indore,Diu,Hotel Samrat,3,Suite,5283,3,1,2,10566,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",6,63396,13-05-2020,07-05-2020
16163,160,Puducherry,Itanagar,Hotel SC Continental,3,Deluxe,5009,1,1,1,5009,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Airport Shuttle']",3,15027,06-10-2019,03-10-2019
16167,160,Ludhiana,Kullu-Manali,Hotel Snow Park,2,Executive,3776,1,2,1,3776,"['Wi-Fi', 'Parking', 'Room Service', 'TV']",4,15104,04-11-2019,31-10-2019
16173,160,Kota,Raipur,Hotel Babylon International,4,Suite,8019,3,3,3,24057,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna', 'Business Center']",6,144342,18-12-2019,12-12-2019
16179,160,Bilaspur,Gangtok,The Elgin Nor-Khill - A Heritage Hotel & Spa,4,Executive,8371,4,0,2,16742,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Rooftop Lounge']",4,66968,27-01-2020,23-01-2020
16183,160,Indore,Amritsar,Radisson Blu Hotel Amritsar,5,Deluxe,9229,1,0,1,9229,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge']",1,9229,21-02-2020,20-02-2020
16191,160,Shillong,Puducherry,Hotel Annamalai International,3,Suite,7326,3,0,2,14652,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar']",5,73260,21-04-2020,16-04-2020
16192,160,Surat,Amritsar,Radisson Blu Hotel Amritsar,5,Suite,12585,3,0,2,25170,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Private Butler', 'Helipad', 'Limousine Service']",7,176190,30-04-2020,23-04-2020
16197,160,Indore,Kullu-Manali,Manuallaya Resort,4,Suite,8092,2,1,2,16184,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna', 'Rooftop Lounge', 'Business Center']",4,64736,01-06-2020,28-05-2020
16199,160,Delhi NCR,Bengaluru,Signature Club Resort,4,Suite,10342,2,0,1,10342,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",4,41368,15-06-2020,11-06-2020
16202,160,Hisar,Delhi NCR,Roseate House New Delhi,5,Executive,10759,2,1,2,21518,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Helipad', 'Limousine Service', 'Private Butler']",4,86072,06-07-2020,02-07-2020
16206,160,Kota,Bhopal,The Residency,4,Executive,7528,4,0,2,15056,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Rooftop Lounge']",5,75280,04-08-2020,30-07-2020
16209,160,Kota,Puri,Mayfair Waves,5,Executive,13538,3,3,3,40614,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge']",7,284298,27-08-2020,20-08-2020
16211,160,Indore,Prayagraj,Hotel Milan Palace,3,Suite,7054,2,0,1,7054,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms', 'Bar']",7,49378,10-09-2020,03-09-2020
16217,161,Amritsar,Prayagraj,Hotel DPS Inn,3,Deluxe,5220,4,1,3,15660,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",1,15660,27-09-2019,26-09-2019
16220,161,Vadodara,Raigarh,Hotel Aashirwad,2,Executive,3344,1,0,1,3344,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Laundry']",3,10032,20-10-2019,17-10-2019
16223,161,Varanasi,Jamshedpur,Hotel South Park,3,Deluxe,5452,3,3,3,16356,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",1,16356,08-11-2019,07-11-2019
16224,161,Mumbai,Puducherry,Hotel Annamalai International,3,Deluxe,5372,4,3,4,21488,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms']",1,21488,15-11-2019,14-11-2019
16230,161,Ludhiana,Navi Mumbai,Hotel Yogi Metropolitan,3,Executive,5888,2,1,2,11776,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Airport Shuttle', 'Bar', 'Meeting Rooms']",5,58880,31-12-2019,26-12-2019
16231,161,Indore,Ahmedabad,Hyatt Regency Ahmedabad,5,Deluxe,11918,4,2,3,35754,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Helipad', 'Private Butler', 'Limousine Service']",6,214524,08-01-2020,02-01-2020
16234,161,Jaipur,Gwalior,Hotel The Vedas,3,Deluxe,4137,2,3,2,8274,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms']",1,8274,24-01-2020,23-01-2020
16235,161,Ahmedabad,Prayagraj,Hotel Crown Palace,3,Deluxe,4620,2,0,1,4620,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Airport Shuttle', 'Bar', 'Meeting Rooms']",6,27720,05-02-2020,30-01-2020
16236,161,Diu,Amritsar,"Taj Swarna, Amritsar",5,Suite,13533,1,2,1,13533,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Helipad', 'Limousine Service']",4,54132,10-03-2020,06-03-2020
16240,161,Mopa,Amritsar,Hotel Shiraz Castle,3,Executive,5173,4,0,2,10346,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",3,31038,08-04-2020,05-04-2020
16242,161,Surat,Thiruvananthapuram,Uday Suites,4,Executive,7683,1,0,1,7683,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Rooftop Lounge', 'Business Center']",3,23049,22-03-2020,19-03-2020
16251,161,Puri,Bhopal,Hotel Lake View Ashok,4,Deluxe,7335,1,2,1,7335,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Rooftop Lounge', 'Business Center', 'Sauna']",7,51345,28-05-2020,21-05-2020
16253,161,Vijayawada,Shimla,Hotel Shingar,2,Deluxe,3150,2,3,2,6300,"['Wi-Fi', 'Parking', 'Room Service', 'TV']",1,6300,05-06-2020,04-06-2020
16254,161,Kota,Pune,St Laurn Hotel Pune,4,Executive,6704,3,1,2,13408,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Rooftop Lounge']",7,93856,18-06-2020,11-06-2020
16255,161,Imphal,Puri,Hotel Shree Hari,3,Deluxe,4974,4,1,3,14922,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",2,29844,20-06-2020,18-06-2020
16257,161,Mysuru,Gangtok,"Lemon Tree Hotel, Gangtok",3,Suite,6436,3,0,2,12872,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar', 'Meeting Rooms', 'Airport Shuttle']",3,38616,05-07-2020,02-07-2020
16258,161,Jaipur,Dabolim,Hotel Supreme,3,Executive,6380,3,2,3,19140,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",3,57420,12-07-2020,09-07-2020
16266,161,Bhopal,Nashik,Hotel Grand Rio,4,Deluxe,7050,4,2,3,21150,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna', 'Business Center']",3,63450,06-09-2020,03-09-2020
16267,161,Hisar,Dehradun,Naturoville Wellness,4,Suite,7773,3,0,2,15546,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Business Center', 'Sauna']",4,62184,14-09-2020,10-09-2020
16268,161,Dehradun,Raipur,Hotel VW Canyon,4,Deluxe,7574,3,3,3,22722,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Rooftop Lounge', 'Business Center', 'Sauna']",1,22722,19-09-2020,18-09-2020
16270,161,Srinagar,Dabolim,Mariaariose - Melody of the Sea,3,Deluxe,5442,2,1,2,10884,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms', 'Airport Shuttle', 'Bar']",2,21768,03-10-2020,01-10-2020
16275,161,Shillong,Dehradun,Hotel Sun Shine,3,Deluxe,4868,2,0,1,4868,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar', 'Airport Shuttle']",5,24340,10-11-2020,05-11-2020
16276,161,Pune,Kolkata,Swissotel Kolkata,5,Suite,13992,1,0,1,13992,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Limousine Service']",7,97944,19-11-2020,12-11-2020
16279,161,Hyderabad,Coimbatore,Gokulam Park - Coimbatore,4,Executive,6873,1,2,1,6873,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",3,20619,06-12-2020,03-12-2020
16286,161,Chennai,Nashik,The Source at Sula,4,Executive,8780,1,2,1,8780,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",6,52680,27-01-2021,21-01-2021
16290,161,Hyderabad,Srinagar,Hotel New Prince Inn,3,Suite,6852,1,1,1,6852,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",5,34260,23-02-2021,18-02-2021
16295,161,Dehradun,Mumbai,Grand Hyatt Mumbai,5,Deluxe,9910,4,0,2,19820,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge']",1,19820,26-03-2021,25-03-2021
16296,161,Raipur,Vijayawada,K N Gupta Residency,2,Suite,3447,1,2,1,3447,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Laundry']",7,24129,08-04-2021,01-04-2021
16301,161,Bhubaneswar,Bengaluru,Regenta Inn by Royal Orchid Hotels,3,Executive,5378,2,3,2,10756,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar', 'Meeting Rooms', 'Airport Shuttle']",1,10756,07-05-2021,06-05-2021
16302,161,Mumbai,Mysuru,Hotel Roopa,3,Suite,5704,4,0,2,11408,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",1,11408,14-05-2021,13-05-2021
16303,161,Puri,Bengaluru,Hotel Presidency,3,Executive,6003,4,2,3,18009,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Airport Shuttle', 'Meeting Rooms']",2,36018,22-05-2021,20-05-2021
16304,161,Visakhapatnam,Mysuru,Hotel Adeline,3,Executive,5875,4,3,4,23500,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms', 'Airport Shuttle', 'Bar']",1,23500,28-05-2021,27-05-2021
16305,161,Raipur,Ayodhya,Hotel Ramprastha,3,Suite,6024,3,3,3,18072,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar', 'Airport Shuttle']",2,36144,05-06-2021,03-06-2021
16309,161,Bengaluru,Ludhiana,Hotel Maharaja Regency,3,Deluxe,5411,4,3,4,21644,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar', 'Meeting Rooms']",1,21644,02-07-2021,01-07-2021
16310,161,Surat,Bengaluru,Clarks Exotica Convention Resort & Spa,5,Suite,14733,1,0,1,14733,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Limousine Service']",6,88398,14-07-2021,08-07-2021
16318,161,Kolkata,Coimbatore,Hash Six Hotels,4,Deluxe,7390,1,2,1,7390,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna', 'Rooftop Lounge']",3,22170,05-09-2021,02-09-2021
16322,161,Visakhapatnam,Tirupati,Hotel Bliss,4,Executive,6536,4,3,4,26144,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna']",2,52288,02-10-2021,30-09-2021
16328,161,Khowai,Pune,Conrad Pune,5,Deluxe,11158,3,2,3,33474,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge']",5,167370,16-11-2021,11-11-2021
16338,161,Srinagar,Raipur,Hotel Shamrock Greens,4,Executive,8252,3,0,2,16504,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",5,82520,25-01-2022,20-01-2022
16340,161,Khowai,Kullu-Manali,Hotel New Adarsh,2,Suite,4012,3,3,3,12036,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Laundry']",2,24072,05-02-2022,03-02-2022
16341,161,Kota,Bhopal,Hotel Lake View Ashok,4,Suite,10002,3,3,3,30006,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Business Center', 'Rooftop Lounge', 'Sauna']",6,180036,16-02-2022,10-02-2022
16342,161,Kota,Hisar,Hotel Deep,2,Deluxe,2684,3,1,2,5368,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Laundry']",5,26840,22-02-2022,17-02-2022
16343,161,Bilaspur,Dabolim,Coconut Creek Resort,3,Suite,4736,4,2,3,14208,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",4,56832,28-02-2022,24-02-2022
16344,161,Mopa,Ayodhya,Hotel Saket Residency,3,Deluxe,4745,2,2,2,9490,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Airport Shuttle']",3,28470,06-03-2022,03-03-2022
16351,162,Jaipur,Dehradun,Hotel Padmini Palace,3,Deluxe,4112,1,0,1,4112,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",3,12336,10-11-2019,07-11-2019
16355,162,Gwalior,Mumbai,Sofitel Mumbai BKC,5,Deluxe,10481,2,0,1,10481,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Private Butler']",1,10481,06-12-2019,05-12-2019
16361,162,Bilaspur,Coimbatore,Hotel Kiscol Grands,4,Deluxe,5647,1,0,1,5647,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Business Center']",3,16941,19-01-2020,16-01-2020
16363,162,Jaipur,Bhopal,Courtyard by Marriott Bhopal,5,Suite,16095,2,2,2,32190,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Private Butler', 'Limousine Service', 'Helipad']",1,32190,31-01-2020,30-01-2020
16364,162,Srinagar,Itanagar,Hotel High East,3,Suite,6426,3,2,3,19278,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms', 'Airport Shuttle']",6,115668,12-02-2020,06-02-2020
16365,162,Raipur,Kolkata,"Ethnotel, Kolkata Airport",3,Deluxe,4878,3,2,3,14634,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar']",1,14634,14-02-2020,13-02-2020
16368,162,Mumbai,Dehradun,Naturoville Wellness,4,Executive,6737,4,1,3,20211,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",3,60633,08-03-2020,05-03-2020
16369,162,Itanagar,Hyderabad,Park Hyatt Hyderabad,5,Executive,10888,3,1,2,21776,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge']",1,21776,13-03-2020,12-03-2020
16374,162,Mysuru,Bilaspur,Hotel Jeet Continental,3,Deluxe,4010,4,2,3,12030,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",2,24060,18-04-2020,16-04-2020
16375,162,Gwalior,Vijayawada,Treebo Trend Empire,3,Executive,4079,1,1,1,4079,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms']",5,20395,28-04-2020,23-04-2020
16378,162,Mysuru,Pune,Radisson Blu Hotel Pune Kharadi,5,Executive,10826,1,2,1,10826,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge']",4,43304,18-05-2020,14-05-2020
16385,162,Dabolim,Surat,Lords Plaza Surat,4,Deluxe,5628,3,0,2,11256,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Business Center', 'Sauna']",7,78792,09-07-2020,02-07-2020
16392,162,Dabolim,Amritsar,Hotel Hong Kong Inn,3,Deluxe,4443,2,0,1,4443,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar', 'Airport Shuttle']",2,8886,22-08-2020,20-08-2020
